"Time","nacosdb-mysql-0","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-1","nacosdb-mysql-2","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-1","tsdb-mysql-2","tsdb-mysql-2","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-admin-basic-info-service-d8d4b4ff9-s7zth","ts-admin-order-service-787856598f-fl56n","ts-admin-order-service-787856598f-fl56n","ts-admin-route-service-5d486755c-mxt4j","ts-admin-route-service-5d486755c-mxt4j","ts-admin-travel-service-7d4d447494-lz7vv","ts-admin-travel-service-7d4d447494-lz7vv","ts-admin-user-service-c544d7b74-xj8pn","ts-admin-user-service-c544d7b74-xj8pn","ts-assurance-service-569ffd759f-nzddv","ts-assurance-service-569ffd759f-nzddv","ts-auth-service-5cd94cf4c9-pr4sc","ts-auth-service-5cd94cf4c9-pr4sc","ts-avatar-service-ff8977c96-z6h7t","ts-avatar-service-ff8977c96-z6h7t","ts-basic-service-c57455994-5rf52","ts-basic-service-c57455994-5rf52","ts-cancel-service-55b6778574-7zfnb","ts-cancel-service-55b6778574-7zfnb","ts-config-service-55f74d8b79-mt2ln","ts-config-service-55f74d8b79-mt2ln","ts-consign-price-service-764c676495-rblv4","ts-consign-price-service-764c676495-rblv4","ts-consign-service-69fdbff744-t4nnm","ts-consign-service-69fdbff744-t4nnm","ts-contacts-service-69864b9cd7-j7kng","ts-contacts-service-69864b9cd7-j7kng","ts-delivery-service-857d89f589-nrpbf","ts-delivery-service-857d89f589-nrpbf","ts-execute-service-667756b4bf-vrl4r","ts-execute-service-667756b4bf-vrl4r","ts-food-delivery-service-85c449576c-7jtrf","ts-food-delivery-service-85c449576c-7jtrf","ts-food-service-85b5445f7-69dvs","ts-food-service-85b5445f7-69dvs","ts-gateway-service-8585c745cd-mn5vn","ts-gateway-service-8585c745cd-mn5vn","ts-inside-payment-service-7f87878d9f-mqp8l","ts-inside-payment-service-7f87878d9f-mqp8l","ts-news-service-7665fdf4c-hlrml","ts-news-service-7665fdf4c-hlrml","ts-notification-service-66777dd945-g9l6f","ts-notification-service-66777dd945-g9l6f","ts-order-other-service-6666b4d4d-x6l64","ts-order-other-service-6666b4d4d-x6l64","ts-order-service-69885cc6c8-4mcjr","ts-order-service-69885cc6c8-4mcjr","ts-payment-service-7fc4c49d89-7zrgj","ts-payment-service-7fc4c49d89-7zrgj","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-preserve-other-service-5b9bbf9cf-hjzpg","ts-preserve-service-56dfc8d6d-vnlpb","ts-preserve-service-56dfc8d6d-vnlpb","ts-price-service-55c8646c4c-hjw4b","ts-price-service-55c8646c4c-hjw4b","ts-rebook-service-79586f4dbc-lh6w9","ts-rebook-service-79586f4dbc-lh6w9","ts-route-plan-service-6594877d59-qrh8f","ts-route-plan-service-6594877d59-qrh8f","ts-route-service-6f5855dc47-7ht8z","ts-route-service-6f5855dc47-7ht8z","ts-seat-service-54f7bb8465-rzgwd","ts-seat-service-54f7bb8465-rzgwd","ts-security-service-7fd5f9ff9c-k4nxj","ts-security-service-7fd5f9ff9c-k4nxj","ts-station-food-service-bbffbd779-qbpwz","ts-station-food-service-bbffbd779-qbpwz","ts-station-service-798774f5d-dpsf5","ts-station-service-798774f5d-dpsf5","ts-ticket-office-service-9979b76f9-ztj64","ts-ticket-office-service-9979b76f9-ztj64","ts-train-food-service-f544897f-jd76n","ts-train-food-service-f544897f-jd76n","ts-train-service-c7fc88877-mm8n9","ts-train-service-c7fc88877-mm8n9","ts-travel-plan-service-57865655f6-vklhv","ts-travel-plan-service-57865655f6-vklhv","ts-travel-service-699599cdf5-mffdb","ts-travel-service-699599cdf5-mffdb","ts-travel2-service-5db558f8d9-4tk7g","ts-travel2-service-5db558f8d9-4tk7g","ts-ui-dashboard-7b5d44c888-gqlfj","ts-ui-dashboard-7b5d44c888-gqlfj","ts-user-service-77988d68d8-kp6gg","ts-user-service-77988d68d8-kp6gg","ts-verification-code-service-58d4c7b777-p96jk","ts-verification-code-service-58d4c7b777-p96jk","ts-voucher-service-7545b4fb7c-v46q2","ts-voucher-service-7545b4fb7c-v46q2","ts-wait-order-service-6f7f78bb5d-8f78g","ts-wait-order-service-6f7f78bb5d-8f78g","nacosdb-mysql-0","nacosdb-mysql-0","nacosdb-mysql-1","nacosdb-mysql-1","nacosdb-mysql-2","nacosdb-mysql-2","tsdb-mysql-0","tsdb-mysql-0","tsdb-mysql-1","tsdb-mysql-1","tsdb-mysql-2","tsdb-mysql-2"
2024-01-03 12:45:55,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:00,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:05,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:10,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:15,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:20,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:25,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:30,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:35,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:40,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:45,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:50,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:46:55,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:00,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:05,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:10,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:15,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:20,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:25,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:30,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:35,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:40,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:45,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
2024-01-03 12:47:50,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.250,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.100,0.200,0.200,0.150,0.200,0.150,0.200,0.150,0.200,0.150,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
